DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
898.7543	 68.2556
899.2203	 68.2787
899.6862	 68.3006
900.1521	 68.3213
900.6180	 68.3409
901.0839	 68.3592
901.5498	 68.3763
902.0158	 68.3922
902.4817	 68.4070
902.9476	 68.4207
903.4135	 68.4332
903.8794	 68.4446
904.3453	 68.4548
904.8113	 68.4640
905.2772	 68.4719
905.7431	 68.4786
906.2090	 68.4840
906.6749	 68.4880
907.1408	 68.4904
907.6068	 68.4912
908.0727	 68.4901
908.5386	 68.4871
909.0045	 68.4819
909.4704	 68.4744
909.9363	 68.4646
910.4023	 68.4521
910.8682	 68.4370
911.3341	 68.4191
911.8000	 68.3983
912.2659	 68.3747
912.7319	 68.3483
913.1978	 68.3190
913.6637	 68.2870
914.1296	 68.2523
914.5955	 68.2151
915.0614	 68.1756
915.5274	 68.1339
915.9933	 68.0904
916.4592	 68.0451
916.9251	 67.9984
917.3910	 67.9506
917.8569	 67.9017
918.3229	 67.8522
918.7888	 67.8021
919.2547	 67.7517
919.7206	 67.7011
920.1865	 67.6505
920.6524	 67.6000
921.1184	 67.5495
921.5843	 67.4992
922.0502	 67.4490
922.5161	 67.3989
922.9820	 67.3488
923.4479	 67.2986
923.9139	 67.2481
924.3798	 67.1972
924.8457	 67.1458
925.3116	 67.0937
925.7775	 67.0409
926.2435	 66.9870
926.7094	 66.9322
927.1753	 66.8762
927.6412	 66.8190
928.1071	 66.7605
928.5730	 66.7009
929.0390	 66.6401
929.5049	 66.5782
929.9708	 66.5153
930.4367	 66.4515
930.9026	 66.3870
931.3685	 66.3220
931.8345	 66.2566
932.3004	 66.1911
932.7663	 66.1256
933.2322	 66.0603
933.6981	 65.9954
934.1640	 65.9310
934.6300	 65.8673
935.0959	 65.8043
935.5618	 65.7420
936.0277	 65.6805
936.4936	 65.6197
936.9595	 65.5596
937.4255	 65.5000
937.8914	 65.4408
938.3573	 65.3818
938.8232	 65.3229
939.2891	 65.2637
939.7551	 65.2041
940.2210	 65.1438
940.6869	 65.0826
941.1528	 65.0201
941.6187	 64.9563
942.0846	 64.8909
942.5506	 64.8237
943.0165	 64.7546
943.4824	 64.6835
943.9483	 64.6103
944.4142	 64.5349
944.8801	 64.4574
945.3461	 64.3777
945.8120	 64.2961
946.2779	 64.2124
946.7438	 64.1269
947.2097	 64.0397
947.6756	 63.9509
948.1416	 63.8606
948.6075	 63.7691
949.0734	 63.6764
949.5393	 63.5827
950.0052	 63.4882
950.4711	 63.3928
950.9371	 63.2968
951.4030	 63.2001
951.8689	 63.1028
952.3348	 63.0049
952.8007	 62.9065
953.2667	 62.8074
953.7326	 62.7077
954.1985	 62.6074
954.6644	 62.5064
955.1303	 62.4047
955.5962	 62.3022
956.0622	 62.1990
956.5281	 62.0950
956.9940	 61.9904
957.4599	 61.8851
957.9258	 61.7793
958.3917	 61.6730
958.8577	 61.5663
959.3236	 61.4596
959.7895	 61.3528
960.2554	 61.2463
960.7213	 61.1402
961.1872	 61.0348
961.6532	 60.9302
962.1191	 60.8266
962.5850	 60.7242
963.0509	 60.6232
963.5168	 60.5236
963.9827	 60.4255
964.4487	 60.3290
964.9146	 60.2340
965.3805	 60.1404
965.8464	 60.0481
966.3123	 59.9569
966.7783	 59.8665
967.2442	 59.7767
967.7101	 59.6870
968.1760	 59.5971
968.6419	 59.5067
969.1078	 59.4153
969.5738	 59.3225
970.0397	 59.2278
970.5056	 59.1309
970.9715	 59.0315
971.4374	 58.9291
971.9033	 58.8236
972.3693	 58.7146
972.8352	 58.6021
973.3011	 58.4860
973.7670	 58.3662
974.2329	 58.2428
974.6988	 58.1159
975.1648	 57.9858
975.6307	 57.8527
976.0966	 57.7170
